grid_id,row,col,candidate_score,demand,suitability,grid_capacity,remaining_capacity_mw,grid_risk,existing_supply
30298,118,90,0.825371503829956,0.8920553922653198,0.7150000333786011,0.7510946393013,2.3528459072113037,0.2612314820289612,0.0
38217,149,73,0.8244354128837585,0.8140737414360046,0.6050000190734863,0.9545073509216309,2.8817193508148193,0.049590833485126495,0.0
30550,119,86,0.8239877820014954,0.9029337167739868,0.7150000333786011,0.7269575595855713,2.2900896072387695,0.283782035112381,0.0
29769,116,73,0.8238600492477417,0.8986197710037231,0.7150000333786011,0.7287426590919495,2.2947309017181396,0.27311965823173523,0.0
49982,195,62,0.8231000900268555,0.8673725128173828,0.7150000333786011,0.7798381447792053,2.427578926086426,0.22532027959823608,0.0
59168,231,32,0.820986270904541,0.7883655428886414,0.6950000524520874,0.9186854362487793,2.7885820865631104,0.08680322021245956,0.0
39812,155,132,0.8205241560935974,0.9132909774780273,0.6975000500679016,0.719816267490387,2.2715225219726562,0.308898389339447,0.0
31316,122,84,0.8199760913848877,0.8980406522750854,0.7150000333786011,0.7207337021827698,2.273907423019409,0.2908684313297272,0.0
22163,86,147,0.8196079134941101,0.7847166657447815,0.6775000095367432,0.9310561418533325,2.8207461833953857,0.07160815596580505,0.0
58431,228,63,0.8191542029380798,0.7490037679672241,0.6850000619888306,0.9824461340904236,2.954360008239746,0.018606621772050858,0.0
26274,102,162,0.8177706599235535,0.9515568614006042,1.0,0.4054289758205414,1.4541155099868774,0.5938758850097656,0.0
18773,73,85,0.8166593909263611,0.7779538631439209,0.6975000500679016,0.9164977669715881,2.7828943729400635,0.0859975665807724,0.0
18311,71,135,0.8162749409675598,0.7870253324508667,0.6250000596046448,0.9508382081985474,2.8721795082092285,0.0465800017118454,0.0
15194,59,90,0.816164493560791,0.745518684387207,0.7150000333786011,0.9550740718841553,2.883192777633667,0.04618550464510918,0.0
19036,74,92,0.8157359957695007,0.7624256610870361,0.6950000524520874,0.9411277770996094,2.8469321727752686,0.061939120292663574,0.0
46243,180,163,0.8147492408752441,0.9350597858428955,0.987500011920929,0.4369242489337921,1.5360031127929688,0.5730569958686829,0.0
57903,226,47,0.814414918422699,0.7348731756210327,0.6850000619888306,0.9882951974868774,2.96956729888916,0.01248952466994524,0.0
45255,176,199,0.8134796023368835,0.8470482230186462,0.6975000500679016,0.7919931411743164,2.4591822624206543,0.21487551927566528,0.0
48280,188,152,0.8124305009841919,0.8946636915206909,0.7150000333786011,0.7056961059570312,2.2348098754882812,0.31901082396507263,0.0
28792,112,120,0.8108692765235901,0.879127025604248,0.6975000500679016,0.736832857131958,2.315765619277954,0.2843851149082184,0.0
